CPM_ID	Chinese_patent_medicine	Pinyin_term	Routes_of_administration
CPM02269	复方追风膏	Fufang Zhuifeng Gao	Topical
CPM02270	复方滋补力膏	Fufang Zibuli Gao	Oral
CPM02271	复方紫参颗粒	Fufang Zishen Keli	Oral
CPM02272	复方紫草气雾剂	Fufang Zicao Qiwuji	Topical
CPM02273	复方紫草油	Fufang Zicao You	Topical
CPM02274	复方紫荆消伤巴布膏	Fufang Zijing Xiaoshang Babugao	Topical
CPM02275	复方紫苏油软胶囊	Fufang Zisuyou Ruanjiaonang	Topical
CPM02276	复方祖司麻止痛膏	Fufang Zusima Zhitong Gao	Topical
CPM02277	复肝康胶囊	Fugankang Jiaonang	Oral
CPM02278	复肝康颗粒	Fugankang Keli	Oral
CPM02279	复肝能胶囊	Fuganneng Jiaonang	Oral
CPM02280	复肝能片	Fuganneng Pian	Oral
CPM02281	复肝宁胶囊	Fuganning Jiaonang	Oral
CPM02282	复肝宁颗粒	Fuganning Keli	Oral
CPM02283	复脉定胶囊	Fumaiding Jiaonang	Oral
CPM02284	复明胶囊	Fuming Jiaonang	Oral
CPM02285	复明颗粒	Fuming Keli	Oral
CPM02286	复明片	Fuming Pian	Oral
CPM02287	复芪止汗颗粒	Fuqi Zhihan Keli	Oral
CPM02288	复肾宁胶囊	Fushenning Jiaonang	Oral
CPM02289	复肾宁片	Fushenning Pian	Oral
CPM02290	复生康胶囊	Fushengkang Jiaonang	Oral
CPM02291	复生康片	Fushengkang Pian	Oral
CPM02292	复胃散胶囊	Fuweisan Jiaonang	Oral
CPM02293	复胃散片	Fuweisan Pian	Oral
CPM02294	复心胶囊	Fuxin Jiaonang	Oral
CPM02295	复心片	Fuxin Pian	Oral
CPM02296	腹安颗粒	Fu´an Keli	Oral
CPM02297	腹可安分散片	Fukean Fensanpian	Oral
CPM02298	腹可安片	Fuke'an Pian	Oral
CPM02299	腹痛水	Futong Shui	Oral
CPM02300	馥感啉口服液	Fuganlin Koufuye	Oral
CPM02301	嘎日迪五味胶囊	Garidi Wuwei Jiaonang	Oral
CPM02302	嘎日迪五味丸	Garidi Wuwei Wan	Oral
CPM02303	甘参胶囊	Ganshen Jiaonang	Oral
CPM02304	甘草浸膏	Gancao Jingao	Oral
CPM02305	甘草流浸膏	Gancao Liujingao	Oral
CPM02306	甘果含片	Ganguo Hanpian	Oral
CPM02307	甘海胃康胶囊	Ganhai Weikang Jiaonang	Oral
CPM02308	甘海胃康片	Ganhai Weikang Pian	Oral
CPM02309	甘和茶	Ganhe Cha	Oral
CPM02310	甘桔冰梅片	Ganjie Bingmei Pian	Oral
CPM02311	甘桔清咽颗粒	Ganjie Qingyan Keli	Oral
CPM02312	甘霖洗剂	Ganlin Xiji	Topical
CPM02313	甘露茶	Ganlu Cha	Oral
CPM02314	甘露解热口服液	Ganlu Jiere Koufuye	Oral
CPM02315	甘露酥油丸	Ganlu Suyou Wan	Oral
CPM02316	甘露消毒丸	Ganlu Xiaodu Wan	Oral
CPM02317	甘露消渴胶囊	Ganlu Xiaoke Jiaonang	Oral
CPM02318	甘芍消渴片	Ganshao Xiaoke Pian	Oral
CPM02319	肝必复胶囊	Ganbifu Jiaonang	Oral
CPM02320	肝必复软胶囊	Ganbifu Ruanjiaonang	Oral
CPM02321	肝畅胶囊	Ganchang Jiaonang	Oral
CPM02322	肝达胶囊	Ganda Jiaonang	Oral
CPM02323	肝达康颗粒	Gandakang Keli	Oral
CPM02324	肝达片	Ganda Pian	Oral
CPM02325	肝胆清胶囊	Gandanqing Jiaonang	Oral
CPM02326	肝胆清片	Gandanqing Pian	Oral
CPM02327	肝胆双清颗粒	Gandan Shuangqing Keli	Oral
CPM02328	肝胆双清口服液	Gandan Shuangqing Koufuye	Oral
