CHP_ID	Chinese_herbal_pieces	Chinese_synonyms	Pinyin_term	English_term	Sources
CHP05909	狸肉		li rou	Felis bengalensis	Metazoa
CHP05910	鲢鱼		lian yu	Hypophthalmichthys molitrix	Metazoa
CHP05911	灵猫肉		ling mao rou	Viverra zibetha	Metazoa
CHP05912	灵猫香		ling mao xiang	Civet	Metazoa
CHP05913	羚羊角		ling yang jiao	Cornu Saigae Tataricae	Metazoa
CHP05914	龙涎香		long xian xiang	Ammbergris	Metazoa
CHP05915	蝼蛄		lou gu	mole cricket	Metazoa
CHP05916	蝼蛄虾		lou gu xia	Upogebia major	Metazoa
CHP05917	鸬鹚肉		lu ci rou	Phalacrocorax carbo	Metazoa
CHP05918	鹿骨		lu gu	Cervus elaphus	Metazoa
CHP05919	鹿角	鹿角霜|鹿角胶	lu jiao	Cornu Cervi	Metazoa
CHP05920	鹿筋		lu jin	Cervus elaphus	Metazoa
CHP05921	鹿皮		lu pi	Cervus elaphus	Metazoa
CHP05922	鹿茸		lu rong	Cornu Cervi Pantotrichum	Metazoa
CHP05923	鹿肉		lu rou	Cervus elaphus	Metazoa
CHP05924	鹿肾		lu shen	Cervus elaphus	Metazoa
CHP05925	鹿髓		lu sui	Cervus elaphus	Metazoa
CHP05926	鹿胎		lu tai	Cervus elaphus	Metazoa
CHP05927	鹿蹄肉		lu ti rou	Cervus elaphus	Metazoa
CHP05928	鹿头肉		lu tou rou	Cervus elaphus	Metazoa
CHP05929	鹿血		lu xue	Cervus elaphus	Metazoa
CHP05930	鹿靥		lu ye	Cervus elaphus	Metazoa
CHP05931	螺蛳		luo si	Sinotaia quadrata	Metazoa
CHP05932	驴阴茎	驴鞭	lv yin jing	Equus asinus	Metazoa
CHP05933	驴脂		lv zhi	Equus asinus	Metazoa
CHP05934	马宝		ma bao	Horse Bezoar	Metazoa
CHP05935	马齿		ma chi	Equus caballus	Metazoa
CHP05936	马骨		ma gu	Equus caballus	Metazoa
